Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,126.5,130.0,125.0625,129.25,82.34207916259766,114874
2002-07-02,131.1875,131.1875,126.51249694824219,127.26249694824219,81.07589721679688,70272
2002-07-03,130.0,133.3000030517578,127.5,132.0749969482422,84.14180755615234,158600
2002-07-04,127.25,138.125,127.25,136.9375,87.23959350585938,389836
2002-07-05,138.75,138.75,133.39999389648438,134.1875,85.48764038085938,162464
2002-07-08,134.97500610351562,135.22500610351562,133.27499389648438,134.1999969482422,85.49559783935547,100766
2002-07-09,136.25,136.5,133.02499389648438,136.10000610351562,86.7060546875,110472
2002-07-10,130.0,137.0,130.0,133.21249389648438,84.86649322509766,182680
2002-07-11,132.5,133.4375,131.5,132.875,84.65147399902344,68804
2002-07-12,132.75,133.6999969482422,132.28750610351562,132.8125,84.61166381835938,39310
2002-07-15,132.0124969482422,132.4499969482422,130.2624969482422,131.33749389648438,83.6719741821289,34122
2002-07-16,131.5124969482422,131.5124969482422,126.25,128.0,81.54573059082031,80172
2002-07-17,126.75,127.25,124.75,126.23750305175781,80.42288970947266,81806
2002-07-18,122.3375015258789,127.48750305175781,122.3375015258789,124.61250305175781,79.38764190673828,76988
2002-07-19,122.26249694824219,126.5,122.25,125.6624984741211,80.05656433105469,157674
2002-07-22,125.75,125.75,121.25,124.0875015258789,79.05316162109375,80436
2002-07-23,118.5,124.23750305175781,118.5,122.01249694824219,77.73123931884766,80816
2002-07-24,120.4124984741211,122.0,117.32499694824219,117.6500015258789,74.95198822021484,208460
2002-07-25,119.0,121.25,114.1500015258789,118.4375,75.45368194580078,401650
2002-07-26,123.5999984741211,123.75,110.05000305175781,112.4749984741211,71.6551284790039,243754
2002-07-29,115.05000305175781,116.25,104.25,108.2249984741211,68.94755554199219,259782
2002-07-30,108.75,110.44999694824219,105.0,107.67500305175781,68.59716796875,143848
2002-07-31,102.5,108.25,102.5,105.25,67.05225372314453,225840
2002-08-01,108.75,108.75,104.0625,106.42500305175781,67.80081176757812,211186
2002-08-02,100.75,105.5999984741211,100.75,104.2750015258789,66.43109893798828,96810
2002-08-05,106.0,107.7249984741211,104.0625,107.1624984741211,68.27066040039062,72298
2002-08-06,113.75,113.75,106.0250015258789,109.5250015258789,69.77576446533203,98388
2002-08-07,109.9749984741211,116.73750305175781,108.5,112.8125,71.8701400756836,336812
2002-08-08,113.5,114.75,110.0,110.5,70.39689636230469,94164
2002-08-09,110.25,113.4749984741211,109.5374984741211,112.25,71.51178741455078,101558
2002-08-12,112.5250015258789,114.9375,112.5250015258789,113.3499984741211,72.21257781982422,101390
2002-08-13,113.625,113.625,111.3125,111.8375015258789,71.24898529052734,51326
2002-08-14,104.0,112.25,104.0,108.69999694824219,69.25015258789062,210438
2002-08-15,108.69999694824219,108.69999694824219,108.69999694824219,108.69999694824219,69.25015258789062,0
2002-08-16,103.125,110.25,103.125,106.9124984741211,68.11138153076172,286236
2002-08-19,107.5,107.8499984741211,106.26249694824219,107.4124984741211,68.42992401123047,136762
2002-08-20,108.0250015258789,110.7125015258789,106.25,109.4124984741211,69.7040786743164,107902
2002-08-21,111.25,111.25,108.51249694824219,108.73750305175781,69.27405548095703,67328
2002-08-22,107.5250015258789,109.6875,106.82499694824219,107.0374984741211,68.19103240966797,246328
2002-08-23,106.75,107.2249984741211,104.625,104.9625015258789,66.86908721923828,341918
2002-08-26,104.875,106.25,103.625,104.4375,66.53462219238281,273836
